"DATE","TIME","CO2","CH4","co2","ch4","time"
"2026-04-21","11:51:00","487.39581","2081.739",487.39581,2081.739,2026-04-21 11:51:00
"2026-04-21","11:51:01","460.81497","2105.1577",460.81497,2105.1577,2026-04-21 11:51:01
"2026-04-21","11:51:02","535.28271","1992.3855",535.28271,1992.3855,2026-04-21 11:51:02
"2026-04-21","11:51:03","526.979","2022.973",526.979,2022.973,2026-04-21 11:51:03
"2026-04-21","11:51:04","472.16434","2108.2432",472.16434,2108.2432,2026-04-21 11:51:04
"2026-04-21","11:51:05","548.05139","1994.2791",548.05139,1994.2791,2026-04-21 11:51:05
"2026-04-21","11:51:06","497.82303","2083.4976",497.82303,2083.4976,2026-04-21 11:51:06
"2026-04-21","11:51:07","486.62848","2078.2808",486.62848,2078.2808,2026-04-21 11:51:07
"2026-04-21","11:51:08","541.74762","1993.8535",541.74762,1993.8535,2026-04-21 11:51:08
"2026-04-21","11:51:09","480.20157","2109.9971",480.20157,2109.9971,2026-04-21 11:51:09
"2026-04-21","11:51:10","519.427","2049.4509",519.427,2049.4509,2026-04-21 11:51:10
"2026-04-21","11:51:11","563.51917","1977.0277",563.51917,1977.0277,2026-04-21 11:51:11
"2026-04-21","11:51:12","493.64471","2096.0271",493.64471,2096.0271,2026-04-21 11:51:12
"2026-04-21","11:51:13","534.58398","2030.1923",534.58398,2030.1923,2026-04-21 11:51:13
"2026-04-21","11:51:14","483.34747","2089.2258",483.34747,2089.2258,2026-04-21 11:51:14
"2026-04-21","11:51:15","471.96829","2082.5603",471.96829,2082.5603,2026-04-21 11:51:15
"2026-04-21","11:51:16","546.55261","1961.7699",546.55261,1961.7699,2026-04-21 11:51:16
"2026-04-21","11:51:17","481.9845","2087.8865",481.9845,2087.8865,2026-04-21 11:51:17
"2026-04-21","11:51:18","468.12119","2080.1011",468.12119,2080.1011,2026-04-21 11:51:18
"2026-04-21","11:51:19","468.14157","2079.1399",468.14157,2079.1399,2026-04-21 11:51:19
"2026-04-21","11:51:20","466.64777","2080.1306",466.64777,2080.1306,2026-04-21 11:51:20
